dataset,numelements,load_factor,model,reducer,sample_size,min,max,std_dev,empty_slots,empty_slots_percent,colliding_slots,colliding_slots_percent,total_colliding_keys,total_colliding_keys_percent,sample_nanoseconds_total,sample_nanoseconds_per_key,prepare_nanoseconds_total,prepare_nanoseconds_per_key,build_nanoseconds_total,build_nanoseconds_per_key,hashing_nanoseconds_total,hashing_nanoseconds_per_key,total_nanoseconds,total_nanoseconds_per_key
consecutive_200M_uint64,200000000,0.750000,radix_spline_err32_rbits18,clamp,0.010000,0,2,0.522095,68925017,0.258469,2258351,0.008469,4516702,0.022584,586096090,2.930480,139576046,0.697880,21787681,0.108938,9384485567,46.922428,10131945384,50.659727
consecutive_200M_uint64,200000000,1.000000,radix_spline_err32_rbits18,clamp,0.001000,0,2,0.147198,2166719,0.010834,2166719,0.010834,4333438,0.021667,392529306,1.962647,11994624,0.059973,2668613,0.013343,10301870154,51.509351,10709062697,53.545313
consecutive_200M_uint64,200000000,1.000000,radix_spline_err32_rbits18,clamp,0.010000,0,2,0.150278,2258351,0.011292,2258351,0.011292,4516702,0.022584,627656494,3.138282,143665481,0.718327,22329391,0.111647,10021887162,50.109436,10815538528,54.077693
consecutive_200M_uint64,200000000,0.750000,radix_spline_err32_rbits18,clamp,0.001000,0,2,0.521217,68833385,0.258125,2166719,0.008125,4333438,0.021667,269399885,1.346999,12038088,0.060190,2645261,0.013226,10390005418,51.950027,10674088652,53.370443
consecutive_200M_uint64,200000000,1.000000,radix_spline_err32_rbits18,clamp,0.100000,0,2,0.150387,2261638,0.011308,2261638,0.011308,4523276,0.022616,2929555543,14.647778,1623937270,8.119686,218406292,1.092031,10890154618,54.450773,15662053723,78.310269
consecutive_200M_uint64,200000000,0.750000,radix_spline_err32_rbits18,clamp,0.100000,0,2,0.522127,68928304,0.258481,2261638,0.008481,4523276,0.022616,2749611930,13.748060,1624075383,8.120377,217914945,1.089575,10074601720,50.373009,14666203978,73.331020
consecutive_200M_uint64,200000000,1.000000,pgm_hash_eps256_epsrec4,clamp,0.001000,0,233720,16.537012,25062801,0.125314,15807835,0.079039,40870636,0.204353,392529306,1.962647,11994624,0.059973,6527045,0.032635,12604757322,63.023787,13015808297,65.079041
consecutive_200M_uint64,200000000,1.000000,pgm_hash_eps256_epsrec4,clamp,0.010000,0,23663,1.811723,40942662,0.204713,33607386,0.168037,74550048,0.372750,627656494,3.138282,143665481,0.718327,46440526,0.232203,12463752409,62.318762,13281514910,66.407575
consecutive_200M_uint64,200000000,0.750000,pgm_hash_eps256_epsrec4,clamp,0.010000,0,5,0.856124,107597498,0.403491,33613301,0.126050,74544133,0.372721,586096090,2.930480,139576046,0.697880,78883174,0.394416,13836877436,69.184387,14641432746,73.207164
consecutive_200M_uint64,200000000,0.750000,pgm_hash_eps256_epsrec4,clamp,0.001000,0,4,0.774909,91612608,0.343547,15866264,0.059498,40812206,0.204061,269399885,1.346999,12038088,0.060190,6611134,0.033056,13197640108,65.988201,13485689215,67.428446
consecutive_200M_uint64,200000000,1.000000,pgm_hash_eps256_epsrec4,clamp,0.100000,0,1601,0.247377,4835622,0.024178,4829314,0.024147,9664936,0.048325,2929555543,14.647778,1623937270,8.119686,179739029,0.898695,14182058803,70.910294,18915290645,94.576453
consecutive_200M_uint64,200000000,0.750000,pgm_hash_eps256_epsrec4,clamp,0.100000,0,4,0.546249,71500738,0.268128,4829363,0.018110,9663435,0.048317,2749611930,13.748060,1624075383,8.120377,157352579,0.786763,13619032117,68.095161,18150072009,90.750360
consecutive_200M_uint64,200000000,1.000000,radix_spline_err32_rbits18,clamp,1.000000,1,1,0.000000,0,0.000000,0,0.000000,0,0.000000,523092563,2.615463,19207930380,96.039652,1974268881,9.871344,9406918033,47.034590,31112209857,155.561049
