dataset,numelements,model,reducer,sample_size,model_count,sample_nanoseconds_total,sample_nanoseconds_per_key,prepare_nanoseconds_total,prepare_nanoseconds_per_key,build_nanoseconds_total,build_nanoseconds_per_key,hashing_nanoseconds_total,hashing_nanoseconds_per_key,total_nanoseconds,total_nanoseconds_per_key,benchmark_repeat_cnt
consecutive_200M_uint64,200000000,radix_spline_err1_rbits8,clamp,1.000000,2,1216450044,6.082250,20328984473,101.644922,1694534035,8.472670,798068026,3.990340,24038036578,120.190183,10
consecutive_200M_uint64,200000000,radix_spline_err1_rbits12,clamp,1.000000,2,1216450044,6.082250,20328984473,101.644922,1919940503,9.599703,772120209,3.860601,24237495229,121.187476,10
consecutive_200M_uint64,200000000,radix_spline_err1_rbits16,clamp,1.000000,2,1216450044,6.082250,20328984473,101.644922,1783531429,8.917657,905835461,4.529177,24234801407,121.174007,10
consecutive_200M_uint64,200000000,radix_spline_err1_rbits18,clamp,1.000000,2,1216450044,6.082250,20328984473,101.644922,1702686878,8.513434,1192618039,5.963090,24440739434,122.203697,10
consecutive_200M_uint64,200000000,radix_spline_err1_rbits20,clamp,1.000000,2,1216450044,6.082250,20328984473,101.644922,1737534173,8.687671,2097401457,10.487007,25380370147,126.901851,10
consecutive_200M_uint64,200000000,radix_spline_err8_rbits8,clamp,1.000000,2,1216450044,6.082250,20328984473,101.644922,1787541538,8.937708,771949503,3.859748,24104925558,120.524628,10
consecutive_200M_uint64,200000000,radix_spline_err8_rbits12,clamp,1.000000,2,1216450044,6.082250,20328984473,101.644922,2040690785,10.203454,772062080,3.860310,24358187382,121.790937,10
consecutive_200M_uint64,200000000,radix_spline_err8_rbits16,clamp,1.000000,2,1216450044,6.082250,20328984473,101.644922,1781871567,8.909358,900870174,4.504351,24228176258,121.140881,10
consecutive_200M_uint64,200000000,radix_spline_err8_rbits18,clamp,1.000000,2,1216450044,6.082250,20328984473,101.644922,1780901184,8.904506,1216936128,6.084681,24543271829,122.716359,10
consecutive_200M_uint64,200000000,radix_spline_err8_rbits20,clamp,1.000000,2,1216450044,6.082250,20328984473,101.644922,1784068679,8.920343,2059827751,10.299139,25389330947,126.946655,10
consecutive_200M_uint64,200000000,radix_spline_err16_rbits8,clamp,1.000000,2,1216450044,6.082250,20328984473,101.644922,2040102716,10.200514,770980953,3.854905,24356518186,121.782591,10
consecutive_200M_uint64,200000000,radix_spline_err16_rbits12,clamp,1.000000,2,1216450044,6.082250,20328984473,101.644922,1780221702,8.901109,792804034,3.964020,24118460253,120.592301,10
consecutive_200M_uint64,200000000,radix_spline_err16_rbits16,clamp,1.000000,2,1216450044,6.082250,20328984473,101.644922,1782487326,8.912437,905094583,4.525473,24233016426,121.165082,10
consecutive_200M_uint64,200000000,radix_spline_err16_rbits18,clamp,1.000000,2,1216450044,6.082250,20328984473,101.644922,1781246939,8.906235,1187421325,5.937107,24514102781,122.570514,10
consecutive_200M_uint64,200000000,radix_spline_err16_rbits20,clamp,1.000000,2,1216450044,6.082250,20328984473,101.644922,2048045890,10.240229,2083792210,10.418961,25677272617,128.386363,10
consecutive_200M_uint64,200000000,radix_spline_err32_rbits8,clamp,1.000000,2,1216450044,6.082250,20328984473,101.644922,1782158541,8.910793,779004670,3.895023,24106597728,120.532989,10
consecutive_200M_uint64,200000000,radix_spline_err32_rbits12,clamp,1.000000,2,1216450044,6.082250,20328984473,101.644922,1798701276,8.993506,770574994,3.852875,24114710787,120.573554,10
consecutive_200M_uint64,200000000,radix_spline_err32_rbits16,clamp,1.000000,2,1216450044,6.082250,20328984473,101.644922,2045221575,10.226108,902821537,4.514108,24493477629,122.467388,10
consecutive_200M_uint64,200000000,radix_spline_err1_rbits8,clamp,0.010000,511790,2047458229,10.237291,151239056,0.756195,40105937,0.200530,25141198438,125.705992,27380001660,136.900008,10
consecutive_200M_uint64,200000000,radix_spline_err32_rbits18,clamp,1.000000,2,1216450044,6.082250,20328984473,101.644922,1674179339,8.370897,1203071229,6.015356,24422685085,122.113425,10
consecutive_200M_uint64,200000000,radix_spline_err32_rbits20,clamp,1.000000,2,1216450044,6.082250,20328984473,101.644922,1845627492,9.228137,2095616158,10.478081,25486678167,127.433391,10
osm_cellids_200M_uint64,200000000,radix_spline_err1_rbits8,clamp,0.010000,587169,2079608145,10.398041,153042062,0.765210,46151407,0.230757,30626181406,153.130907,32904983020,164.524915,10
consecutive_200M_uint64,200000000,radix_spline_err1_rbits12,clamp,0.010000,511790,2047458229,10.237291,151239056,0.756195,37845785,0.189229,16043177071,80.215885,18279720141,91.398601,10
consecutive_200M_uint64,200000000,radix_spline_err1_rbits16,clamp,0.010000,511790,2047458229,10.237291,151239056,0.756195,38568804,0.192844,6967793478,34.838967,9205059567,46.025298,10
consecutive_200M_uint64,200000000,radix_spline_err1_rbits18,clamp,0.010000,511790,2047458229,10.237291,151239056,0.756195,39071931,0.195360,6320083340,31.600417,8557852556,42.789263,10
osm_cellids_200M_uint64,200000000,radix_spline_err1_rbits12,clamp,0.010000,587169,2079608145,10.398041,153042062,0.765210,43601527,0.218008,25180737745,125.903689,27456989479,137.284947,10
consecutive_200M_uint64,200000000,radix_spline_err1_rbits20,clamp,0.010000,511790,2047458229,10.237291,151239056,0.756195,43565765,0.217829,5926221646,29.631108,8168484696,40.842423,10
consecutive_200M_uint64,200000000,radix_spline_err8_rbits8,clamp,0.010000,22772,2047458229,10.237291,151239056,0.756195,28314850,0.141574,9209588215,46.047941,11436600350,57.183002,10
consecutive_200M_uint64,200000000,radix_spline_err8_rbits12,clamp,0.010000,22772,2047458229,10.237291,151239056,0.756195,27239339,0.136197,3554609738,17.773049,5780546362,28.902732,10
consecutive_200M_uint64,200000000,radix_spline_err8_rbits16,clamp,0.010000,22772,2047458229,10.237291,151239056,0.756195,27512512,0.137563,1738543194,8.692716,3964752991,19.823765,10
osm_cellids_200M_uint64,200000000,radix_spline_err1_rbits16,clamp,0.010000,587169,2079608145,10.398041,153042062,0.765210,50374252,0.251871,20532349355,102.661747,22815373814,114.076869,10
consecutive_200M_uint64,200000000,radix_spline_err8_rbits18,clamp,0.010000,22772,2047458229,10.237291,151239056,0.756195,25011588,0.125058,1905280629,9.526403,4128989502,20.644948,10
consecutive_200M_uint64,200000000,radix_spline_err8_rbits20,clamp,0.010000,22772,2047458229,10.237291,151239056,0.756195,29232264,0.146161,2413698466,12.068492,4641628015,23.208140,10
consecutive_200M_uint64,200000000,radix_spline_err16_rbits8,clamp,0.010000,6254,2047458229,10.237291,151239056,0.756195,23108272,0.115541,6383444468,31.917222,8605250025,43.026250,10
consecutive_200M_uint64,200000000,radix_spline_err16_rbits12,clamp,0.010000,6254,2047458229,10.237291,151239056,0.756195,24551933,0.122760,2255648913,11.278245,4478898131,22.394491,10
consecutive_200M_uint64,200000000,radix_spline_err16_rbits16,clamp,0.010000,6254,2047458229,10.237291,151239056,0.756195,25792255,0.128961,1197529600,5.987648,3422019140,17.110096,10
consecutive_200M_uint64,200000000,radix_spline_err16_rbits18,clamp,0.010000,6254,2047458229,10.237291,151239056,0.756195,22216206,0.111081,1477911760,7.389559,3698825251,18.494126,10
osm_cellids_200M_uint64,200000000,radix_spline_err1_rbits18,clamp,0.010000,587169,2079608145,10.398041,153042062,0.765210,49907021,0.249535,16014335487,80.071677,18296892715,91.484464,10
consecutive_200M_uint64,200000000,radix_spline_err16_rbits20,clamp,0.010000,6254,2047458229,10.237291,151239056,0.756195,26350456,0.131752,2140055915,10.700280,4365103656,21.825518,10
consecutive_200M_uint64,200000000,radix_spline_err32_rbits8,clamp,0.010000,1653,2047458229,10.237291,151239056,0.756195,19505595,0.097528,2934740119,14.673701,5152942999,25.764715,10
consecutive_200M_uint64,200000000,radix_spline_err32_rbits12,clamp,0.010000,1653,2047458229,10.237291,151239056,0.756195,23524898,0.117624,1383243216,6.916216,3605465399,18.027327,10
consecutive_200M_uint64,200000000,radix_spline_err32_rbits16,clamp,0.010000,1653,2047458229,10.237291,151239056,0.756195,21134832,0.105674,1012774284,5.063871,3232606401,16.163032,10
consecutive_200M_uint64,200000000,radix_spline_err32_rbits18,clamp,0.010000,1653,2047458229,10.237291,151239056,0.756195,22756294,0.113781,1418072998,7.090365,3639526577,18.197633,10
consecutive_200M_uint64,200000000,radix_spline_err32_rbits20,clamp,0.010000,1653,2047458229,10.237291,151239056,0.756195,22059285,0.110296,2058270118,10.291351,4279026688,21.395133,10
osm_cellids_200M_uint64,200000000,radix_spline_err1_rbits20,clamp,0.010000,587169,2079608145,10.398041,153042062,0.765210,52125771,0.260629,13685508052,68.427540,15970284030,79.851420,10
osm_cellids_200M_uint64,200000000,radix_spline_err1_rbits8,clamp,1.000000,51663761,1276350760,6.381754,20281252428,101.406262,4305212574,21.526063,114551267583,572.756338,140414083345,702.070417,10
